"活動ID","建立日期","平台","頻道名稱","活動標題","貼文則數","貼文類型","貼文連結","Meta post ID","留言數","留言加購","銷售額NT$"
"646066","2025-12-05","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/12/05 貓眼彩曜｜隱形寶石中的守護神","1","Reel","https://www.facebook.com/reel/1505392780688369/","1627804834169159_1326780692795209","15","0","0"
"646065","2025-12-05","Instagram","tzgems1111","POST 2025/12/05剔透純淨｜瑞士藍拓帕石","1","Reel","https://www.instagram.com/reel/DR4Q011Dw3z/","17976514772794034","281","0","0"
"646064","2025-12-05","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/12/05 剔透純淨｜瑞士藍拓帕石","1","Reel","https://www.facebook.com/reel/1477843803275683/","1627804834169159_1326784679461477","555","0","0"
"646029","2025-12-05","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","太陽之石｜奧勒岡太陽石","1","Reel","https://www.facebook.com/reel/1171355011290308/","1627804834169159_1326773486129263","123","0","0"
"646023","2025-12-05","Instagram","tzgems1111","太陽之石｜奧勒岡太陽石","1","Reel","https://www.instagram.com/reel/DR4OkQTD5SL/","18069116846104790","108","0","0"
"645901","2025-12-05","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/12/05 蓮花","1","Reel","https://www.facebook.com/reel/1178378350494273/","1627804834169159_1323504709789474","91","0","0"
"645134","2025-12-02","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","五種綠色寶石(沙佛萊、祖母綠、綠鑽、綠藍寶、綠碧璽)","1","Reel","https://www.facebook.com/reel/2015242906090158/","1627804834169159_1332395598900385","128","0","0"
"645132","2025-12-02","Instagram","tzgems1111","五種綠色寶石(沙佛萊、祖母綠、綠鑽、綠藍寶、綠碧璽)","1","Reel","https://www.instagram.com/reel/DSKRNUkD24W/","17915533866092091","47","0","0"
"644348","2025-11-28","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","招財｜黃藍寶耳釘","1","Reel","https://www.facebook.com/reel/1501302704296435/","1627804834169159_1321264786680133","163","0","0"
"644347","2025-11-28","Instagram","tzgems1111","招財｜黃藍寶耳釘","1","Reel","https://www.instagram.com/reel/DRmb4rXj8C7/","18106216327652534","90","0","0"
"644325","2025-11-28","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","馬上有錢｜祖母綠吊墜","1","Reel","https://www.facebook.com/reel/1980068406197925/","1627804834169159_1321250750014870","13","0","0"
"644324","2025-11-28","Instagram","tzgems1111","馬上有錢｜祖母綠吊墜","1","Reel","https://www.instagram.com/reel/DRmY5ZoD4XF/","17873980215377396","3","0","0"
"644300","2025-11-28","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","招財之石｜金運石吊墜","2","Reel","https://www.facebook.com/reel/687305707571290/
https://www.facebook.com/reel/1436645801220911/","1627804834169159_1321150270024918
1627804834169159_1336992351774043","298","278","47600"
"644297","2025-11-28","Instagram","tzgems1111","招財之石｜金運石吊墜","1","Reel","https://www.instagram.com/reel/DRmG4uvD9zh/","18000998978830935","108","103","11050"
"642434","2025-11-21","Instagram","tzgems1111","POST 2025/11/21 粉色寶石系列","1","Reel","https://www.instagram.com/reel/DRUFq4bj6yR/","18318039697217152","30","0","0"
"642433","2025-11-21","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/11/21 粉色寶石系列","2","Reel","https://www.facebook.com/reel/1387360196672234/
https://www.facebook.com/reel/1171987385127093/","1627804834169159_1315332677273344
1627804834169159_1336974091775869","84","0","0"
"642432","2025-11-21","Instagram","tzgems1111","POST 2025/11/21 祖母綠","1","Reel","https://www.instagram.com/reel/DRUHjGgD6pY/","18135689692472705","143","0","0"
"642431","2025-11-21","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/11/21 祖母綠","2","Reel","https://www.facebook.com/reel/787102924374376/
https://www.facebook.com/reel/2142339302967492/","1627804834169159_1315346723938606
1627804834169159_1336974885109123","537","0","0"
"642358","2025-11-21","Facebook","","POST 2025/11/21 14:18","0","","","","0","0","0"
"640323","2025-11-14","Instagram","tzgems1111","POST 2025/11/14 黃鐵礦","1","Reel","https://www.instagram.com/reel/DRCKqubEY7_/","18026979404672305","103","0","0"
"640322","2025-11-14","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/11/14 黃鐵礦","2","Reel","https://www.facebook.com/reel/1175456860581733/
https://www.facebook.com/reel/836500342516997/","1627804834169159_1309437427862869
1627804834169159_1336972515109360","273","0","0"
