date,video_id,platform,plays,reach,comments,likes,shares,score
2026-05-08,1684234236090736,fb,1469,1245,23,27,0,0
2026-05-08,972523058975831,fb,865,804,1,12,0,0
2026-05-09,2050095295927457,fb,3138,3131,2,59,0,25
2026-05-09,821990560946949,fb,7370,7383,76,133,2,48
2026-05-09,26541072558894159,fb,3570,3538,0,83,0,17
2026-05-09,2039704963556171,fb,9210,9385,5,207,3,52
2026-05-09,1671239750567460,fb,3655,3678,0,51,3,28
2026-05-09,796828263186023,fb,8628,8642,129,122,0,52
2026-05-09,974792628330298,fb,15690,15930,2,404,7,54
2026-05-09,2248656868999741,fb,6991,7093,33,312,6,57
2026-05-09,942254035074221,fb,5513,5644,2,149,1,35
2026-05-09,1589419192539706,fb,1505,1478,1,45,0,20
2026-05-09,4342797209371871,fb,36099,36230,14,752,4,63
2026-05-09,848247071634612,fb,2514,2460,40,57,0,39
2026-05-09,17921707305333986,ig,869,854,0,9,0,0
2026-05-09,18311920003278841,ig,2182,2149,1,51,8,39
2026-05-09,18083574995525867,ig,1467,1440,20,29,2,0
2026-05-09,18062242379415014,ig,4408,4374,0,99,2,29
2026-05-09,17965963686060929,ig,4505,4532,0,101,24,45
2026-05-09,18151543057415264,ig,3586,3324,15,37,4,24
2026-05-09,17998822607929829,ig,1522,1547,23,35,1,40
2026-05-09,17982421521003920,ig,3057,3045,0,57,3,27
2026-05-09,18105851549509097,ig,5323,5344,3,124,17,58
2026-05-09,18105667477723912,ig,1928,1905,11,49,1,19
2026-05-09,18055225880524372,ig,12959,13188,4,291,4,53
2026-05-09,2294434614419419,fb,14308,14509,4,457,29,65
2026-05-09,1480411827114437,fb,3352,3418,0,57,0,17
2026-05-09,17884106586513278,ig,2539,2421,1,87,22,43
2026-05-09,2671660139876729,fb,47890,60800,29,1151,3,64
2026-05-09,936590619013678,fb,5182,5313,0,95,11,43
2026-05-09,1320887196600099,fb,4790,5237,25,119,1,28
2026-05-09,18076028567534301,ig,12360,12205,5,462,15,64
2026-05-09,18077402978280199,ig,1132,1133,0,24,4,0
2026-05-09,18217336387316574,ig,1981,1993,33,32,2,46
2026-05-09,2199022047515003,fb,6454,6729,2,174,0,38
2026-05-09,1864229470939941,fb,5596,6169,4,114,0,41
2026-05-09,809802795138517,fb,5054,5366,0,134,5,25
2026-05-09,1479118220517328,fb,15035,15106,101,330,15,51
2026-05-09,2445443019237006,fb,4569,4754,0,97,4,33
2026-05-09,1327100795969723,fb,2652,2796,1,57,1,11
2026-05-09,770948119286458,fb,10430,10705,5,335,2,50
2026-05-09,1218409573702798,fb,4582,4588,2,73,1,17
2026-05-09,946358478014051,fb,7148,7512,83,88,0,49
2026-05-09,992409379972726,fb,2438,2424,2,16,0,9
2026-05-09,1685331449569077,fb,260316,307938,59,3662,239,71
2026-05-09,1297979515814750,fb,18484,18990,410,300,5,70
2026-05-09,1486532986230905,fb,1923,1972,0,18,0,12
2026-05-09,939633498894840,fb,7081,7492,75,144,1,47
2026-05-09,982031720841319,fb,8404,8450,75,165,5,48
2026-05-09,1950140099205338,fb,1452,1495,0,31,1,0
2026-05-09,1461501238810777,fb,8311,8677,145,138,0,60
2026-05-09,1532951375210753,fb,1055,1095,0,17,2,0
2026-05-09,935996825866036,fb,5315,5410,6,181,6,30
2026-05-09,1937578960215234,fb,5480,5146,0,81,4,37
2026-05-09,1519952812822608,fb,3301,3360,0,69,0,17
2026-05-09,1479065100557230,fb,1763,1782,1,39,0,21
2026-05-09,1495912212189973,fb,2686,2761,3,41,0,10
2026-05-09,789059620737242,fb,1272,1282,0,9,0,0
2026-05-09,2388503981575279,fb,3672,3624,1,66,0,23
2026-05-09,2469642576827530,fb,4754,4859,3,147,2,38
2026-05-09,2022651559131149,fb,8447,8909,107,139,1,54
2026-05-09,969440372335105,fb,6668,7272,156,105,6,67
2026-05-09,961299933495990,fb,14777,15808,1,223,3,47
2026-05-09,2508773376210204,fb,2747,2867,0,52,0,14
2026-05-09,957598923668086,fb,4450,4704,0,75,2,27
2026-05-09,1696584428367674,fb,1953,2077,0,15,0,12
2026-05-09,2395499794207288,fb,7487,8321,3,272,5,51
2026-05-09,26392497683756040,fb,6196,6200,0,152,6,44
2026-05-09,26454313877596632,fb,8486,9045,4,150,2,47
2026-05-09,3858337047796068,fb,3782,3910,0,50,6,33
2026-05-09,1298069738321853,fb,5062,4935,3,73,1,37
2026-05-09,1227153256163261,fb,7458,7783,166,82,1,62
2026-05-09,967046245934064,fb,20583,21704,5,437,6,55
2026-05-09,1269195391966710,fb,7636,7868,0,114,2,40
2026-05-09,1769058097811088,fb,38229,38173,1198,779,7,77
2026-05-09,842634435371875,fb,18886,19607,511,334,3,73
2026-05-09,950364297880185,fb,9426,9193,133,136,0,58
2026-05-09,867735193013841,fb,223785,255801,37,2417,19,60
2026-05-09,769488392912429,fb,6710,6724,261,108,0,68
2026-05-09,1544936643722271,fb,5989,6132,93,79,3,56
2026-05-09,1730299787955983,fb,11181,11066,0,133,3,46
2026-05-09,719970347845701,fb,23812,26061,12,364,6,60
2026-05-09,1624311645498383,fb,20790,24345,4,280,2,52
2026-05-09,1483391286500545,fb,40945,40349,390,630,23,58
2026-05-09,1299817488878471,fb,4836,4946,38,32,0,33
2026-05-09,1005268672175562,fb,6028,6235,89,63,0,53
2026-05-09,796937846629959,fb,16473,17274,1,311,1,47
2026-05-09,1130282035930544,fb,13673,14450,6,241,5,55
2026-05-09,2083101712639031,fb,19440,22902,3,275,1,50
2026-05-09,955314570685700,fb,3005,3023,2,58,0,26
2026-05-09,1934017617248107,fb,4462,4478,8,97,3,42
2026-05-09,1700950354372275,fb,7428,7835,25,155,8,61
2026-05-09,1878143446220097,fb,6737,7170,96,108,3,56
2026-05-09,1353928069903141,fb,4347,4514,5,117,0,33
2026-05-09,1462435125101204,fb,14005,14254,0,155,0,45
2026-05-09,2027719584763163,fb,8985,9093,132,191,5,62
2026-05-09,860368276317988,fb,34440,34861,4,515,29,64
2026-05-09,1267430578879497,fb,5167,5251,0,85,3,33
2026-05-09,2744523959238602,fb,5338,5463,58,137,2,45
2026-05-09,1647132799664170,fb,5617,5745,0,107,2,34
2026-05-09,1973217906895873,fb,4995,5128,39,111,2,36
2026-05-09,1536080201282985,fb,9375,9571,228,220,0,54
2026-05-09,1312907507434093,fb,42453,43036,3,579,85,71
2026-05-09,1841116836557541,fb,5135,5179,28,67,1,29
2026-05-09,976175788228834,fb,5055,4869,2,117,14,49
2026-05-09,2051659405765342,fb,3953,3867,0,67,0,19
2026-05-09,964537213107656,fb,952,695,35,27,0,0
2026-05-09,990385046897065,fb,1282,1229,0,27,0,0
2026-05-09,1907964949918696,fb,204,0,0,0,0,0
2026-05-09,1448111353822208,fb,2239,1399,81,47,1,51
2026-05-09,1684234236090736,fb,1469,1245,23,27,0,0
2026-05-09,972523058975831,fb,865,804,1,12,0,0
2026-05-09,953022430832202,fb,1067,1008,32,21,0,0
